# dimension = 2
# nrOfCluster | Time | Size | Radius 
0	22	106	12	
1	6	7	2	
2	17	30	5	
3	4	6	2	
4	54	178	10	
5	3	3	1	
6	7	10	3	
7	47	159	18	
8	19	47	8	
9	14	24	7	
10	6	12	3	
11	22	78	11	
12	15	25	5	
13	117	683	44	
14	1	1	0	
15	1	1	0	
16	4	5	2	
17	19	43	6	
18	77	528	22	
19	24	96	9	
20	8	9	5	
21	47	142	12	
22	2	2	1	
23	18	37	7	
24	55	171	19	
25	191	3062	38	
26	51	155	20	
27	57	577	22	
28	9	14	4	
29	32	81	12	
30	1	1	0	
31	4	4	2	
32	3	4	1	
33	1	1	0	
34	2	2	1	
35	51	158	16	
36	3	4	1	
37	104	894	32	
38	24	63	9	
39	149	707	30	
40	167	2381	38	
41	6	14	3	
42	6	10	2	
43	27	107	9	
44	5	6	3	
45	75	289	24	
46	2	2	1	
47	2	2	1	
48	64	241	19	
49	1	1	0	
50	2	3	1	
51	1	1	0	
52	20	63	10	
53	48	136	19	
54	8	15	3	
55	119	1467	33	
56	11	27	4	
57	16	40	7	
58	63	279	20	
59	16	47	7	
60	3	4	2	
61	4	4	1	
62	1	1	0	
63	2	2	1	
64	53	201	23	
65	8	14	2	
66	17	66	7	
67	4	4	1	
68	9	10	3	
69	4	5	2	
70	114	1054	28	
71	110	612	24	
72	109	362	30	
73	22	78	11	
74	8	11	2	
75	2	2	1	
76	4	5	3	
77	34	165	11	
78	4	4	1	
79	118	2395	30	
80	8	10	2	
81	42	213	15	
82	84	1013	37	
83	50	252	17	
84	17	26	9	
85	1	1	0	
86	1	1	0	
87	124	1751	26	
88	49	129	12	
89	1	1	0	
90	59	345	24	
91	6	8	2	
92	2	2	1	
93	12	22	6	
94	2	2	1	
95	4	6	2	
96	148	1486	36	
97	26	51	7	
98	2	2	1	
99	31	74	13	
100	172	2836	39	
101	97	1418	26	
102	5	8	3	
103	3	4	1	
104	1	1	0	
105	30	70	8	
106	6	11	3	
107	27	97	8	
108	50	809	20	
109	6	9	2	
110	1	1	0	
111	1	1	0	
112	13	25	3	
113	21	34	8	
114	2	2	1	
115	4	9	3	
116	88	366	29	
117	122	545	26	
118	2	2	1	
119	151	860	43	
120	9	9	4	
121	1	1	0	
122	2	2	1	
123	220	1510	40	
124	133	832	22	
125	55	529	17	
126	102	366	19	
127	137	418	29	
128	10	38	5	
129	74	295	17	
130	10	28	5	
131	111	786	43	
132	23	54	9	
133	4	4	1	
134	8	18	5	
135	10	13	5	
136	14	26	8	
137	16	27	7	
138	2	2	1	
139	2	2	1	
140	15	39	7	
141	1	1	0	
142	1	1	0	
143	63	158	14	
144	2	3	1	
145	5	8	2	
146	119	982	29	
147	7	9	3	
148	3	3	1	
149	2	2	1	
150	6	12	3	
151	1	1	0	
152	2	3	1	
153	73	314	22	
154	23	40	9	
155	22	63	9	
156	6	8	4	
157	47	116	14	
158	8	20	4	
159	1	1	0	
160	3	5	1	
161	2	2	1	
