# ClusterNr | averageSlope | clustersize
0	2.5	 96
1	2.34076	 314
2	3	 1
3	2.8	 5
4	2.29837	 553
5	2.30986	 426
6	2.34511	 368
7	2.85714	 14
8	3	 4
9	2.66667	 18
10	2.32104	 461
11	2.46939	 98
12	2.45455	 44
13	2.72222	 18
14	2.75	 4
15	2.69048	 42
16	2.34416	 462
17	3	 3
18	3	 1
19	2.42453	 106
20	2.40299	 134
21	2.40881	 159
22	2.75	 4
23	2.23577	 1476
24	2.43353	 173
25	3	 3
26	2.24156	 1569
27	2.72727	 11
28	2.49167	 120
29	3	 3
30	2.46	 50
31	2.46667	 30
32	3	 1
33	2.35783	 313
34	2.40845	 142
35	2.26597	 767
36	2.31189	 715
37	2.40606	 165
38	2.75	 12
39	3	 6
40	2.31073	 354
41	2.2736	 731
42	2.27205	 805
43	3	 3
44	2.5	 36
45	3	 8
46	2.62162	 37
47	2.875	 8
48	3	 4
49	2.70588	 34
50	3	 2
51	2.75	 16
52	2.2578	 962
53	3	 3
54	3	 3
55	2.54167	 24
56	2.75	 12
57	2.64865	 37
58	3	 1
59	2.25355	 1057
60	3	 1
61	3	 1
62	2.51389	 72
63	2.46809	 47
64	2.5122	 41
65	2.52632	 19
66	2.625	 40
67	3	 1
68	2.61765	 68
69	2.875	 8
70	2.42105	 171
71	2.42373	 177
72	3	 5
73	3	 2
74	2.6	 25
75	3	 1
76	2.85714	 7
77	2.34673	 199
78	2.30556	 684
79	2.29934	 304
80	2.28936	 470
81	2.42982	 114
82	2.54545	 22
83	2.81818	 11
84	3	 2
85	2.25342	 1022
86	2.23994	 1292
87	3	 1
88	2.85714	 7
89	3	 1
90	3	 2
91	2.33333	 264
92	2.8	 5
93	2.65625	 32
94	2.33016	 315
95	3	 2
96	2.90909	 11
97	2.35526	 152
98	2.3494	 166
99	2.36043	 369
100	3	 10
101	2.25986	 1166
102	2.61538	 26
103	2.31687	 243
104	3	 1
105	2.34032	 620
106	3	 4
107	2.40789	 152
108	2.75	 16
109	2.27874	 1044
110	2.53846	 13
111	2.84615	 13
112	3	 2
113	2.31737	 334
114	2.71429	 14
115	2.39095	 243
116	2.25048	 1050
117	3	 4
118	2.21429	 1330
119	3	 4
120	2.49057	 53
121	3	 1
122	2.34221	 263
123	3	 2
124	2.675	 40
125	3	 7
126	2.38426	 216
127	2.4955	 111
128	2.55652	 115
129	3	 3
130	2.90909	 11
131	2.29178	 730
132	2.2232	 1595
133	2.3009	 442
134	2.64706	 34
135	2.29597	 571
136	2.27767	 515
137	3	 1
138	3	 3
139	3	 1
140	2.38889	 90
141	2.27725	 945
142	2.30058	 519
143	2.64	 25
144	2.83333	 18
145	2.69444	 36
146	2.32609	 138
147	2.33565	 432
148	2.52174	 69
149	2.40667	 150
150	2.69231	 13
151	2.50833	 120
152	2.58442	 77
153	2.66667	 9
154	3	 1
155	2.41558	 308
156	3	 2
157	3	 4
158	2.22495	 938
159	2.52941	 68
160	2.57143	 21
161	3	 1
162	2.45312	 192
163	3	 1
164	2.85714	 7
165	2.40176	 341
166	3	 1
167	2.72727	 22
168	2.32727	 880
169	2.55263	 38
170	2.54701	 117
171	2.2139	 1496
172	3	 1
173	2.85714	 7
174	2.55814	 43
175	3	 5
176	2.6087	 23
177	2.83333	 6
178	2.66667	 15
179	2.32609	 322
180	2.64103	 39
181	3	 12
182	2.28644	 590
183	2.5	 80
184	2.875	 8
185	2.61538	 13
186	2.53968	 63
187	3	 6
188	3	 4
189	2.36	 250
190	2.26372	 747
191	2.19685	 2093
192	2.3357	 423
193	2.83333	 12
194	2.69231	 26
195	3	 6
196	2.61538	 13
197	2.31389	 360
198	2.75	 4
199	2.7619	 21
200	2.8	 5
201	2.55882	 34
202	3	 5
203	2.72727	 22
204	3	 1
205	2.41463	 82
206	2.83333	 6
207	2.72	 25
208	3	 1
209	2.20477	 1719
210	2.53704	 54
211	2.28326	 233
212	2.44898	 49
213	2.43195	 338
214	3	 2
215	2.9	 10
216	2.625	 8
217	3	 1
218	2.46154	 65
219	2.75	 12
220	2.57143	 21
221	2.22261	 1424
222	3	 1
223	2.53846	 78
224	3	 1
225	2.75	 4
226	2.39785	 186
227	2.5	 28
228	3	 1
229	3	 3
230	3	 3
231	2.47674	 172
232	3	 1
233	2.32072	 502
234	2.25356	 982
235	2.62857	 35
236	2.39326	 178
237	2.8	 5
238	2.28295	 258
239	2.575	 40
240	3	 1
241	2.30859	 256
242	3	 7
243	2.39796	 392
244	2.5	 58
245	2.65517	 29
246	2.5	 38
247	3	 2
248	2.41237	 194
249	3	 1
250	2.69231	 13
251	2.32667	 300
252	3	 1
253	2.75	 8
254	2.31388	 497
255	3	 4
256	2.28011	 357
257	3	 2
258	2.63158	 38
259	2.24663	 1261
260	2.26829	 1189
261	2.41825	 263
262	2.29091	 715
263	3	 4
264	2.50685	 73
265	3	 1
266	3	 1
267	2.5	 62
268	3	 1
269	2.625	 48
270	2.51685	 89
271	2.45882	 85
272	3	 3
273	2.20648	 1482
274	3	 2
275	2.26519	 856
276	2.31724	 145
277	2.5625	 32
