# ClusterNr | averageSlope | clustersize
0	2.06557	 122
1	2.09082	 852
2	2.07214	 326
3	2.10576	 1734
4	2	 1
5	2.07377	 85
6	1.94231	 29
7	2.10769	 145
8	1.5	 2
9	2.06767	 86
10	1.92857	 32
11	2.1	 4
12	2.0813	 397
13	1.875	 7
14	2.04453	 170
15	1.91667	 11
16	2.08943	 379
17	2.07692	 5
18	1.8	 1
19	1.91892	 70
20	1.96	 27
21	2	 6
22	1.75	 5
23	2.10221	 1128
24	2.05618	 345
25	2.07951	 249
26	1.66667	 3
27	2.1002	 858
28	2.09091	 10
29	2	 3
30	2.08787	 172
31	1.4	 1
32	2.06306	 71
33	1.91429	 20
34	1.86364	 8
35	2.02	 33
36	1.84	 11
37	1.9	 3
38	2.09502	 1153
39	2.03371	 124
40	2	 6
41	2.08824	 211
42	1.95833	 11
43	2.0625	 114
44	2	 9
45	1.875	 15
46	2.00602	 102
47	2.09192	 1065
48	1.95588	 41
49	2	 2
50	2.08084	 1362
51	1.84211	 6
52	1.95455	 8
53	1.925	 19
54	1.625	 2
55	1.97059	 17
56	2.07622	 251
57	2.07692	 47
58	1.84211	 19
59	2.05455	 350
60	1.5	 2
61	1.75	 2
62	2	 10
63	1.625	 6
64	2.04819	 54
65	1.975	 22
66	1.6	 1
67	1.25	 1
68	1.88889	 3
69	2.09929	 444
70	2.01235	 50
71	2.04301	 60
72	1.75	 2
73	1.8	 14
74	2.07547	 30
75	2.0625	 6
76	2.07	 70
77	2	 6
78	2.09645	 1330
79	1.53846	 4
80	2.09569	 1108
81	1.95349	 23
82	2.05155	 135
83	1.92308	 28
84	2.05556	 6
85	2	 27
86	2.05682	 59
87	2.07711	 626
88	2.04636	 101
89	2.01754	 29
90	1.875	 2
91	1.625	 2
92	2.05612	 133
93	2	 1
94	1.86364	 25
95	1.625	 2
96	1.96	 29
97	2	 2
98	2.10145	 42
99	2.07042	 45
100	2.07752	 731
101	1.97143	 17
102	1.93333	 5
103	2.2	 4
104	2.06098	 55
105	1.72727	 3
106	1.94737	 8
107	2.02312	 121
108	2.00971	 62
109	2.04144	 250
110	2.05634	 46
111	2.09032	 809
112	1.96721	 38
113	1.2	 1
114	2.05128	 21
115	2.2	 1
116	2.05833	 78
117	1.75	 9
118	2.09795	 673
119	1.625	 2
120	2	 25
121	1.4	 1
122	2.03376	 170
123	1.89189	 18
124	1.4	 1
125	2.04569	 149
126	1.78947	 8
127	2.10684	 892
128	1.85714	 2
129	1.87143	 39
130	2	 18
131	1.84375	 14
132	1.77778	 7
133	2.10644	 1265
134	1.8	 7
135	2.10355	 261
136	1.95349	 20
137	2.09504	 370
138	1.6	 3
139	1.76923	 4
140	2	 1
141	1.80952	 8
142	2.03546	 88
143	1.8	 1
144	2.2	 1
145	1.75	 6
146	1.75	 5
147	2.04348	 44
148	2.07063	 453
149	1.75	 1
150	2.10984	 1330
151	2.0945	 908
152	1.86957	 10
153	2.09702	 638
154	2	 55
155	2.10195	 1124
156	1.78571	 5
157	2.10317	 1078
158	2.00987	 211
159	2.06122	 26
160	1.92308	 4
161	2.07143	 6
162	2.04098	 77
163	2	 6
164	2.09049	 351
165	2	 6
166	2.02	 26
167	2.04372	 128
168	2.07722	 653
169	2.1	 3
170	2	 5
171	1.96875	 13
172	2.11377	 416
173	1.96875	 14
174	2.05357	 75
175	2.05758	 245
176	2.08093	 738
177	1.625	 2
178	1.75	 1
179	2.0625	 247
180	2.01899	 99
181	1.69231	 4
182	2	 19
183	1.6	 1
184	1.90476	 9
185	2.10667	 353
186	2.11927	 250
187	1.86667	 24
188	1.86207	 13
189	2.09419	 752
190	2.2	 1
191	2.11344	 892
192	1.66667	 4
193	2.04819	 111
194	1.98551	 38
195	1.9	 9
196	2.09181	 1146
197	1.76471	 6
198	1.93333	 13
199	2	 3
200	1.625	 2
201	1.85106	 26
202	2	 6
203	2.10429	 1135
204	2.05092	 382
205	1.4	 1
206	1.71429	 5
207	1.80556	 18
208	1.95745	 24
209	2.06699	 147
