# PileNr | averageSlopeLattice | averageSlopeCluster | averageSlopeReached | clustersize
0	2.106	 2.36134	 1.99398	 119
1	2.1156	 2.81818	 2	 11
2	2.0924	 2.55128	 1.93939	 78
3	2.0996	 2.30078	 2.00888	 256
4	2.0904	 2.25791	 2.10352	 411
5	2.0916	 3	 1.6	 1
6	2.1068	 2.49462	 2.09859	 93
7	2.1004	 2.55882	 1.98333	 34
8	2.0972	 2.42857	 2.04785	 147
9	2.1044	 3	 2	 2
10	2.0892	 3	 1.70588	 6
11	2.1292	 2.64789	 2.04167	 71
12	2.0964	 3	 2.1	 3
13	2.108	 2.39811	 2.08832	 530
14	2.1084	 2.75	 1.9	 8
15	2.106	 2.34727	 2.06112	 311
16	2.1016	 2.62745	 2.05952	 51
17	2.0972	 2.33333	 2.06481	 243
18	2.0992	 3	 1.875	 2
19	2.0976	 3	 1.7	 3
20	2.0936	 2.57143	 2.15	 49
21	2.094	 2.41615	 2.01688	 161
22	2.1	 2.40909	 2.0915	 110
23	2.1104	 2.47414	 2.05294	 116
24	2.0912	 2.4	 1.98347	 80
25	2.096	 2.39024	 2.04867	 164
26	2.1096	 3	 1.75	 1
27	2.0856	 2.2963	 2.07014	 351
28	2.09	 3	 1.875	 2
29	2.12	 2.91667	 2	 12
30	2.1068	 2.42056	 2.04902	 214
31	2.0964	 2.3012	 2.08726	 332
32	2.08	 2.51111	 2.0625	 135
33	2.0908	 3	 1.8	 3
34	2.0916	 2.62069	 1.88	 29
35	2.1068	 2.85714	 2	 7
36	2.1016	 3	 1.8	 1
37	2.0832	 2.6875	 1.96552	 16
38	2.1032	 2.59091	 1.925	 22
39	2.1012	 2.7	 2.16	 10
40	2.1004	 2.31776	 2.07609	 214
41	2.0864	 3	 1.75	 2
42	2.0988	 3	 1.6	 3
43	2.1104	 2.57143	 1.92857	 14
44	2.1156	 2.81818	 1.86957	 11
45	2.0952	 2.41096	 2.00909	 73
46	2.1036	 2.51852	 1.97917	 27
47	2.1124	 2.3245	 2.07143	 453
48	2.1104	 2.73684	 1.89474	 19
49	2.1056	 2.32083	 2.09715	 480
50	2.1084	 2.77778	 2.02564	 18
51	2.112	 2.8	 1.92857	 5
52	2.1092	 2.75	 1.94737	 8
